Execution_Timestamp,Target_Account,SAR_Confidence_Score,Frictional_Analysis,Temporal_Analysis,Justification,Model_Name
2026-05-26 18:06:30.493352,ACC_UTURN_ANCHOR_0,90,"The Principal Value Retention (PVR) of 0.9263 indicates a high retention rate, which falls within the critical risk range (0.85-0.95) as per the provided rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4444 suggests a moderate transaction speed, but it also indicates an intense programmatic burst as per the rubric rules.","The high PVR and moderate MVR, combined with the account identity context flagged as an entity known to utilize complex holding structures and associated with offshore leak databases, justify the classification of high risk according to the provided rubric.",mistral
2026-05-26 18:07:46.974736,ACC_UTURN_ANCHOR_1,90,"The Principal Value Retention (PVR) of 0.9262 indicates a high retention of principal amount, which falls within the critical risk range of 0.85-0.95.","The Multi-hop Velocity Ratio (MVR) of 0.4444 suggests an intense programmatic burst, as it is below the typical range, further supporting the critical risk classification.","The provided financial transaction trace shows a complex network journey with a high PVR and an intense MVR, indicating potential money laundering activity. Additionally, the account identity context reveals that the entity is flagged in offshore leak databases and known to utilize complex holding structures, further supporting the critical risk classification.",mistral
2026-05-26 18:09:01.446131,ACC_UTURN_ANCHOR_2,90,"The Principal Value Retention (PVR) of 0.9209 indicates a high retention rate, which falls within the critical risk range (0.85-0.95) as per the provided rubric.","The Multi-hop Velocity Ratio (MVR) of 1.0 suggests a normal transaction speed, but the intense programmatic burst is not specified in the provided data.","The high PVR and the identity context flagged as High-Risk/Offshore indicate a potential risk of money laundering or tax evasion. The MVR of 1.0 suggests normal transaction speed, but without further information about the transaction frequency, it is difficult to definitively classify this as an intense programmatic burst.",mistral
2026-05-26 18:10:19.307225,ACC_UTURN_ANCHOR_3,90,"The Principal Value Retention (PVR) of 0.9332 indicates a high retention rate, which falls within the critical risk range (0.85-0.95) as per the provided rubric.","The Multi-hop Velocity Ratio (MVR) of 0.6667 suggests a moderate programmatic burst, as it is slightly above the threshold for intense programmatic bursts.","The financial transaction trace shows a complex network journey with a known high-risk entity (ACC_UTURN_ANCHOR_3) involved in offshore activities. The PVR and MVR values, while not meeting the criteria for an intense programmatic burst, still fall within the critical risk range. Therefore, based on the provided evidence, a SAR_Confidence_Score of 90 is assigned to this transaction.",mistral
2026-05-26 18:11:30.263078,ACC_UTURN_ANCHOR_4,90,"The Principal Value Retention (PVR) of 0.9493 indicates a high retention rate, which falls within the critical risk range (0.85-0.95) as per the provided rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4 suggests a moderate programmatic burst, contributing to the high risk score.","The high PVR and moderate MVR, combined with the account identity context flagged as an entity known to utilize complex holding structures and associated with offshore leak databases, justify the classification of high risk according to the provided rubric.",mistral
2026-05-26 18:12:47.523828,ACC_UTURN_ANCHOR_5,90,"The Principal Value Retention (PVR) of 0.9087 indicates a high retention of principal value, which falls within the critical risk range (0.85-0.95) as per the scoring rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4 suggests an intense programmatic burst, as it is below the typical range, further supporting the critical risk classification.","The financial transaction trace exhibits a cycle topology with a high PVR and MVR, and the associated account identity context flags the entity as high-risk and offshore. Given these factors, the transaction is classified as a Critical Risk according to the provided scoring rubric.",mistral
2026-05-26 18:14:03.152638,ACC_UTURN_ANCHOR_6,90,"The Principal Value Retention (PVR) of 0.906 indicates a high retention of principal amount, falling within the range of 0.85-0.95 as defined in the critical risk rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4 suggests an intense programmatic burst, as it is below the typical range, further supporting the critical risk classification.","The provided financial transaction trace exhibits a cycle topology, the principal entity is flagged in offshore leak databases, and known to utilize complex holding structures. These factors, combined with the high PVR and low MVR, indicate a high probability of illicit activity, classifying this transaction as a Critical Risk.",mistral
2026-05-26 18:15:15.34614,ACC_UTURN_ANCHOR_8,90,"The Principal Value Retention (PVR) of 0.9233 falls within the critical risk range of 0.85-0.95, indicating a high level of capital retention.","The Multi-hop Velocity Ratio (MVR) of 0.4 suggests an intense programmatic burst, as it is significantly lower than the typical MVR, which is usually closer to 1.","The financial transaction trace shows a complex network journey with a high PVR and a low MVR, both indicative of potential money laundering activities. Additionally, the account identity context flags the entity as being in offshore leak databases and utilizing complex holding structures, further increasing the risk level.",mistral
2026-05-26 18:16:28.775992,ACC_UTURN_ANCHOR_9,90,"The Principal Value Retention (PVR) of 0.9235 indicates a high retention rate, which falls within the critical risk range (0.85-0.95) as per the provided rubric.","The Multi-hop Velocity Ratio (MVR) of 0.5714 suggests an intense programmatic burst, as it is below the typical value, further supporting the critical risk classification.","The financial transaction trace exhibits a cycle topology with a high PVR and MVR, and the associated account identity context flags the entity as being in offshore leak databases and utilizing complex holding structures. These factors collectively justify the classification of critical risk.",mistral
2026-05-26 18:17:42.388654,ACC_UTURN_ANCHOR_11,90,"The Principal Value Retention (PVR) of 0.9268 falls within the critical risk range of 0.85-0.95, indicating a high level of capital retention.","The Multi-hop Velocity Ratio (MVR) of 1.0 suggests an intense programmatic burst, as the transaction velocity matches the average speed of the network.","The target account's PVR and MVR, along with the account identity context flagged as high-risk/offshore, indicate a critical risk scenario. The account is known to utilize complex holding structures and has been flagged in offshore leak databases, suggesting potential money laundering activities.",mistral
